ID,Name,Longitude,Latitude,Location,Status,BikesAvailable,EBikesAvailable,BikesDisabled,DocksAvailable,DocksDisabled,IsReturning,IsRenting,IsInstalled,TimeStamp
66dbe441-0aca-11e7-82f6-3863bb44ef7c,6 Ave & Canal St,-74.00566443,40.72243797,"https://www.google.com/maps/?q=40.722438,-74.005664",active,14,4,2,56,0,true,true,true,2023-07-29T15:06:22-04:00
514f3dda-4d08-464c-b2d4-5706d400065a,39 Ave & 45 St,-73.91826465725897,40.749478221834764,"https://www.google.com/maps/?q=40.749478,-73.918265",active,8,0,2,9,0,true,true,true,2023-07-29T15:06:22-04:00
fe65853e-b20a-4250-9677-2aa177283b72,Lenox Ave & W 144 St,-73.936521,40.819783,"https://www.google.com/maps/?q=40.819783,-73.936521",active,17,6,5,0,0,true,true,true,2023-07-29T15:06:22-04:00
66db6da2-0aca-11e7-82f6-3863bb44ef7c,Broadway & Battery Pl,-74.01361706,40.70463334,"https://www.google.com/maps/?q=40.704633,-74.013617",active,41,2,4,2,0,true,true,true,2023-07-29T15:06:22-04:00
b47e5ffd-4215-4476-a89b-ebe52111f763,Roosevelt Island Tramway,-73.9536,40.757284,"https://www.google.com/maps/?q=40.757284,-73.953600",active,20,0,3,16,0,true,true,true,2023-07-29T15:06:22-04:00
d11db4cd-f9bf-430b-ac19-104fef323b24,60 Pl & Linden St,-73.90182,40.70886,"https://www.google.com/maps/?q=40.708860,-73.901820",active,3,1,0,17,0,true,true,true,2023-07-29T15:06:22-04:00
bd70035d-4151-42b2-91f6-7bb3333e5253,20 Ave & 21 St,-73.912297,40.784003,"https://www.google.com/maps/?q=40.784003,-73.912297",active,16,0,0,3,0,true,true,true,2023-07-29T15:06:22-04:00
66de0bcb-0aca-11e7-82f6-3863bb44ef7c,Riverside Dr & W 104 St,-73.9711457439,40.8013434,"https://www.google.com/maps/?q=40.801343,-73.971146",active,13,1,0,44,0,true,true,true,2023-07-29T15:06:22-04:00
b7c6ce96-a24d-4c1e-93ee-6f49c1adf119,E 165 St & Clay Ave,-73.91288,40.82809,"https://www.google.com/maps/?q=40.828090,-73.912880",active,18,0,0,1,0,true,true,true,2023-07-29T15:06:22-04:00
46dca5c6-7bd3-4a4f-aa1e-33aa66652294,30 St & 48 Ave,-73.937999,40.7413272,"https://www.google.com/maps/?q=40.741327,-73.937999",active,20,2,1,8,0,true,true,true,2023-07-29T15:06:22-04:00
66dd20eb-0aca-11e7-82f6-3863bb44ef7c,Huron St & Franklin St,-73.95826,40.73266,"https://www.google.com/maps/?q=40.732660,-73.958260",active,17,0,1,16,0,true,true,true,2023-07-29T15:06:22-04:00
c29c9178-bcb1-4c0c-b789-f4a89512a4e4,Concourse Village West & E 156 St,-73.923267,40.823162,"https://www.google.com/maps/?q=40.823162,-73.923267",active,7,1,0,14,0,true,true,true,2023-07-29T15:06:22-04:00
66dbcdfc-0aca-11e7-82f6-3863bb44ef7c,E 53 St & Lexington Ave,-73.97069431,40.75828065,"https://www.google.com/maps/?q=40.758281,-73.970694",active,19,1,0,39,0,true,true,true,2023-07-29T15:06:22-04:00
66dcccfe-0aca-11e7-82f6-3863bb44ef7c,Tompkins Ave & Hopkins St,-73.94708417,40.69957608,"https://www.google.com/maps/?q=40.699576,-73.947084",active,15,0,1,3,0,true,true,true,2023-07-29T15:06:22-04:00
4f57360d-a4cb-4568-b74a-f3086ccaee2e,Seaman Ave & Beak St,-73.926363,40.867505,"https://www.google.com/maps/?q=40.867505,-73.926363",active,12,3,4,5,0,true,true,true,2023-07-29T15:06:22-04:00
ddc8ca6c-dceb-4603-ab1e-4bd972ca2a3d,5 Ave & 66 St,-74.020005,40.635679,"https://www.google.com/maps/?q=40.635679,-74.020005",active,12,5,1,7,0,true,true,true,2023-07-29T15:06:22-04:00
66dbf062-0aca-11e7-82f6-3863bb44ef7c,Allen St & Rivington St,-73.98997825,40.72019576,"https://www.google.com/maps/?q=40.720196,-73.989978",active,17,0,3,20,0,true,true,true,2023-07-29T15:06:22-04:00
5d994b32-b7a5-450d-9bbb-93bf3b03e6d5,Intervale Ave & Kelly St,-73.896372,40.827301,"https://www.google.com/maps/?q=40.827301,-73.896372",active,5,1,1,14,0,true,true,true,2023-07-29T15:06:22-04:00
3f031133-ec95-4a92-9d63-2ae28183f498,11 Ave & Prospect Ave,-73.977335,40.65629,"https://www.google.com/maps/?q=40.656290,-73.977335",active,4,3,1,15,0,true,true,true,2023-07-29T15:06:22-04:00
5f2766b0-362e-49e5-ab09-05e2c4b6f626,E Mosholu Pkwy & E 204 St,-73.8833650931,40.8740704,"https://www.google.com/maps/?q=40.874070,-73.883365",active,16,3,0,3,0,true,true,true,2023-07-29T15:06:22-04:00
753591ba-36f7-4ded-ab7d-40df9994a05f,Madison St & Malcolm X Blvd,-73.93008,40.68713,"https://www.google.com/maps/?q=40.687130,-73.930080",active,4,0,0,21,0,true,true,true,2023-07-29T15:06:22-04:00
bb0ce308-e5d9-48c7-9f4b-cf0120f2c39a,W 145 St & Amsterdam Ave,-73.947257,40.825244,"https://www.google.com/maps/?q=40.825244,-73.947257",active,6,0,2,15,0,true,true,true,2023-07-29T15:06:22-04:00
66dc1e55-0aca-11e7-82f6-3863bb44ef7c,W 49 St & 8 Ave,-73.98788205,40.76227205,"https://www.google.com/maps/?q=40.762272,-73.987882",active,29,1,4,31,0,true,true,true,2023-07-29T15:06:22-04:00
1202a491-9f76-4609-9b5c-eb7723ab5b45,57 St & Grand Ave,-73.9124,40.71921,"https://www.google.com/maps/?q=40.719210,-73.912400",active,15,0,1,3,0,true,true,true,2023-07-29T15:06:22-04:00
7f1b4c40-d9fa-4182-be0e-a993655cfb6f,Brook Ave & E 138 St,-73.91924,40.807408,"https://www.google.com/maps/?q=40.807408,-73.919240",active,10,4,10,3,0,true,true,true,2023-07-29T15:06:22-04:00
66dc22a7-0aca-11e7-82f6-3863bb44ef7c,11 Ave & W 27 St,-74.005226,40.751396,"https://www.google.com/maps/?q=40.751396,-74.005226",active,22,1,5,17,0,true,true,true,2023-07-29T15:06:22-04:00
774c5443-d463-42b3-bfc5-b0ab3c56fe35,Wadsworth Ave & W 179 St,-73.936064,40.848467,"https://www.google.com/maps/?q=40.848467,-73.936064",active,14,3,2,19,0,true,true,true,2023-07-29T15:06:22-04:00
f06c01c3-fd7f-443c-a0c7-fc9233d77f6a,67 St & Erik Pl,-74.016562,40.633385,"https://www.google.com/maps/?q=40.633385,-74.016562",active,12,1,3,9,0,true,true,true,2023-07-29T15:06:22-04:00
a37bd0e0-d1e9-4302-9ff7-286e415aff1c,58 St & 56 Dr,-73.91244,40.72419,"https://www.google.com/maps/?q=40.724190,-73.912440",active,18,1,0,1,0,true,true,true,2023-07-29T15:06:22-04:00
1786687245202023014,Greenpoint Ave & West St,-73.959099,40.729803,"https://www.google.com/maps/?q=40.729803,-73.959099",active,32,8,1,1,0,true,true,true,2023-07-29T15:06:22-04:00
66dc7659-0aca-11e7-82f6-3863bb44ef7c,FDR Drive & E 35 St,-73.97121214,40.744219,"https://www.google.com/maps/?q=40.744219,-73.971212",active,80,0,6,37,0,true,true,true,2023-07-29T15:06:22-04:00
fd0e86e3-079d-40aa-8231-ec2cbdbd9e7f,34 St & 4 Ave,-74.003101,40.655278,"https://www.google.com/maps/?q=40.655278,-74.003101",active,19,3,1,3,0,true,true,true,2023-07-29T15:06:22-04:00
ccaadb70-6c87-4ccc-9914-a3167bd1bc0e,Riverside Dr & W 145 St,-73.951989,40.827305,"https://www.google.com/maps/?q=40.827305,-73.951989",active,11,3,2,19,1,true,true,true,2023-07-29T15:06:22-04:00
66dc8eb1-0aca-11e7-82f6-3863bb44ef7c,Wythe Ave & Metropolitan Ave,-73.963198,40.716887,"https://www.google.com/maps/?q=40.716887,-73.963198",active,51,7,3,2,1,true,true,true,2023-07-29T15:06:22-04:00
66dce4fc-0aca-11e7-82f6-3863bb44ef7c,Lorimer St & Broadway,-73.94818595,40.70411791,"https://www.google.com/maps/?q=40.704118,-73.948186",active,26,1,1,1,0,true,true,true,2023-07-29T15:06:22-04:00
ace80a8c-6196-484e-8dd0-061e3c90389b,Broadway & Furman Ave,-73.90756,40.68139,"https://www.google.com/maps/?q=40.681390,-73.907560",active,6,1,0,23,0,true,true,true,2023-07-29T15:06:22-04:00
66dd4f31-0aca-11e7-82f6-3863bb44ef7c,W 84 St & Columbus Ave,-73.97283406,40.78499979,"https://www.google.com/maps/?q=40.785000,-73.972834",active,9,8,1,24,0,true,true,true,2023-07-29T15:06:22-04:00
2cd651e7-1e3a-4cd9-8fd1-a2416e032f6e,St. Nicholas Terrace & Convent Ave,-73.947868,40.821294,"https://www.google.com/maps/?q=40.821294,-73.947868",active,7,6,3,14,0,true,true,true,2023-07-29T15:06:22-04:00
40914c6b-293d-49ac-b83a-d9d4af998aea,St Ann's Ave & Westchester Ave,-73.911918,40.815887,"https://www.google.com/maps/?q=40.815887,-73.911918",active,16,3,2,1,0,true,true,true,2023-07-29T15:06:22-04:00
7b3381c1-90b6-4701-9016-b0559aaacd8c,W Burnside Ave & University Ave,-73.912498,40.853686,"https://www.google.com/maps/?q=40.853686,-73.912498",active,0,0,1,22,0,true,true,true,2023-07-29T15:06:22-04:00
66ddea2a-0aca-11e7-82f6-3863bb44ef7c,E 91 St & 2 Ave,-73.94963040947914,40.781152764279156,"https://www.google.com/maps/?q=40.781153,-73.949630",active,26,3,4,41,0,true,true,true,2023-07-29T15:06:22-04:00
68827e5f-ed28-45de-99bf-66093a8c504f,Park Pl & Utica Ave,-73.93094,40.67242,"https://www.google.com/maps/?q=40.672420,-73.930940",active,9,1,0,12,0,true,true,true,2023-07-29T15:06:22-04:00
66dc85bb-0aca-11e7-82f6-3863bb44ef7c,W 42 St & 8 Ave,-73.99098507,40.7575699,"https://www.google.com/maps/?q=40.757570,-73.990985",active,29,4,5,7,0,true,true,true,2023-07-29T15:06:22-04:00
e982e1cb-7e7b-4769-85b8-565925200654,Chauncey St & Stuyvesant Ave,-73.93168,40.68012,"https://www.google.com/maps/?q=40.680120,-73.931680",active,12,2,0,11,0,true,true,true,2023-07-29T15:06:22-04:00
77463580-6421-403d-b170-f2660c216175,Menahan St & Central Ave,-73.9196,40.69543,"https://www.google.com/maps/?q=40.695430,-73.919600",active,12,1,0,12,0,true,true,true,2023-07-29T15:06:22-04:00
66dc9223-0aca-11e7-82f6-3863bb44ef7c,E 27 St & 1 Ave,-73.976806,40.739445,"https://www.google.com/maps/?q=40.739445,-73.976806",active,11,0,4,73,0,true,true,true,2023-07-29T15:06:22-04:00
39f756c2-3904-463e-95a8-8d8e3540e845,W 25 St & 9 Ave,-74.0005722643582,40.747832605837715,"https://www.google.com/maps/?q=40.747833,-74.000572",active,4,3,4,57,0,true,true,true,2023-07-29T15:06:22-04:00
16a4effc-282e-4053-b47b-31f734d50c08,E 123 St & Lexington Ave,-73.9379,40.8029263,"https://www.google.com/maps/?q=40.802926,-73.937900",active,23,3,4,0,0,true,true,true,2023-07-29T15:06:22-04:00
bde94a25-6089-4490-af3a-8cc5702230b8,W Broadway & Spring St,-74.00165855884552,40.72494672359416,"https://www.google.com/maps/?q=40.724947,-74.001659",active,40,14,3,22,0,true,true,true,2023-07-29T15:06:22-04:00
66dccad8-0aca-11e7-82f6-3863bb44ef7c,Myrtle Ave & Lewis Ave,-73.93756926,40.69681963,"https://www.google.com/maps/?q=40.696820,-73.937569",active,5,1,0,18,0,true,true,true,2023-07-29T15:06:22-04:00
