School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
THE URBAN ASSEMBLY SCHOOL FOR,M,5,FACADE/PAVED AREAS CONCRETE,9170000,CIP,M501,2005 MADISON AVENUE,Manhattan,10035,MANHATTAN,40.807383,-73.939433,111,9,1054156,1017520022,206,MN1102,"(40.807383, -73.939433)",18-Oct,13093,7,4,36,16
MONROE ACAD FOR VISUAL ARTS -,X,12,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,497180,CIP,X420,1300 BOYNTON AVENUE,Bronx,10472,BRONX,40.831601,-73.878912,209,17,2027459,2038640001,56,BX0901,"(40.831601, -73.878912)",18-Oct,11610,58,5,31,26
P.S.15 - BRONX,X,10,WATER PENETRATION,967000,CIP,X015,2195 ANDREWS AVENUE,Bronx,10453,BRONX,40.85881,-73.909746,207,14,2096013,2032240009,255,BX0701,"(40.85881, -73.909746)",18-Oct,10931,24,5,29,34
P.S. 104 - QUEENS,Q,27,BOILER REPLACEMENT/CLIMATE CONTROL/HVAC,6717000,CIP,Q104,26-01 MOTT AVENUE,Queens,11691,QUEENS,40.608467,-73.764548,414,31,4442313,4156930001,100801,QN1401,"(40.608467, -73.764548)",18-Oct,20529,51,3,47,59
P.S. 233 - BROOKLYN,K,18,MASONRY/CORRODED BEAMS/ROOFS/PARAPETS,6285000,CIP,K233,9301 AVENUE B,Brooklyn,11236,BROOKLYN,40.651022,-73.91402,317,42,3104990,3047530001,930,BK1704,"(40.651022, -73.91402)",18-Oct,13827,61,2,25,40
P.S. 333 - QUEENS,Q,27,SANDY NEW A/C CHILLERS,1278870.32,CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,QUEENS,40.593967,-73.786182,414,31,4301929,4158940011,97204,QN1402,"(40.593967, -73.786182)",18-Oct,20530,51,3,47,59
P.S. 290 - BROOKLYN,K,19,ROOFS/WINDOWS/PARAPETS,2880000,CIP,K290,135 SCHENCK AVENUE,Brooklyn,11207,BROOKLYN,40.67789,-73.889758,305,37,3087821,3039490018,1198,BK0502,"(40.67789, -73.889758)",18-Oct,17214,45,2,37,47
MILLENIUM ART ACADEMY - BRONX,X,8,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,2285000,CIP,X450,1980 LAFAYETTE AVENUE,Bronx,10473,BRONX,40.82229,-73.856167,209,18,2022205,2036040039,16,BX0902,"(40.82229, -73.856167)",18-Oct,11611,58,5,31,26
I.S. 78 - BROOKLYN,K,22,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,208000,CIP,K078,1420 EAST 68 STREET,Brooklyn,11234,BROOKLYN,40.621224,-73.91287,318,46,3236496,3083880002,69602,BK1802,"(40.621224, -73.91287)",18-Oct,13825,5,2,8,38
M.S./H.S. 368 - BRONX,X,10,PAVED AREAS CONCRETE,295000,CIP,X368,2975 TIBBETT AVENUE,Bronx,10463,BRONX,40.879368,-73.909896,208,11,2112838,2057160725,29302,BX0803,"(40.879368, -73.909896)",18-Oct,11272,48,5,40,33
P.S. 152 - BRONX,X,8,WINDOWS,3777000,CIP,X152,1007 EVERGREEN AVENUE,Bronx,10472,BRONX,40.824024,-73.880032,209,17,2023336,2037110001,52,BX0901,"(40.824024, -73.880032)",18-Oct,11610,58,5,43,26
THOMAS A. EDISON HS - Q,Q,28,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,370000,CIP,Q620,165-65 84 AVENUE,Queens,11432,QUEENS,40.715389,-73.800369,408,24,4211027,4098670002,452,QN0805,"(40.715389, -73.800369)",18-Jan,24340,25,3,24,65
MOTT HALL CHARTER SCHOOL,X,9,LOW VOLTAGE ELECTRICAL SYSTEM,1171000,CIP,X862,1260 FRANKLIN AVENUE,Bronx,10456,BRONX,40.830965,-73.902738,203,17,2004302,2026150014,149,BX0301,"(40.830965, -73.902738)",18-Jan,10934,34,5,42,25
P.S. 92 - QUEENS,Q,30,Addition,42410002,CAP,Q292,99-01 34TH AVENUE,Queens,11368,QUEENS,40.755418,-73.869017,403,21,4042496,4017140018,377,QN0303,"(40.755418, -73.869017)",18-Jan,14510,65,3,21,73
I.S. 259 - BROOKLYN,K,20,PLANYC BOILER CONVERSION/CLIMATE CTRL,6758000,CIP,K259,7305 FT HAMILTON PKWY,Brooklyn,11228,BROOKLYN,40.62668,-74.01512,310,38,3148031,3059230001,206,BK1002,"(40.62668, -74.01512)",18-Jan,13511,10,2,44,41
P.S. 196 - BRONX,X,12,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,8481000,CIP,X077,1250 WARD AVENUE,Bronx,10472,BRONX,40.830499,-73.877704,209,17,2000000,2037750025,54,BX0901,"(40.830499, -73.877704)",18-Jan,11610,58,5,31,26
P.S. 131 - BROOKLYN,K,15,WATER PENETRATION/FLOOD/PARAPETS/ROOFS,12900000,CIP,K131,4305 FT HAMILTON PKWY,Brooklyn,11219,BROOKLYN,40.641157,-73.993482,312,44,3136085,3056030001,224,BK1202,"(40.641157, -73.993482)",18-Jan,17621,2,2,27,39
I.S. 123 - BRONX,X,8,RENEWAL SCHOOL BASED HEALTH CENTER,1950000,CIP,X123,1025 MORRISON AVENUE,Bronx,10472,BRONX,40.825403,-73.873666,209,18,2087014,2037180001,48,BX0901,"(40.825403, -73.873666)",18-Jan,11610,58,5,31,26
M.S./H.S. 342 - BRONX,X,10,BOILER FOR SWIMMING,2152000,CIP,X430,2780 RESERVOIR AVENUE,Bronx,10468,BRONX,40.870293,-73.898309,207,11,2015241,2032470070,409,BX0702,"(40.870293, -73.898309)",18-Jan,11606,24,5,40,34
P.S. 233 - BROOKLYN,K,18,MASONRY/CORRODED BEAMS/ROOFS/PARAPETS,6285000,CIP,K233,9301 AVENUE B,Brooklyn,11236,BROOKLYN,40.651022,-73.91402,317,42,3104990,3047530001,930,BK1704,"(40.651022, -73.91402)",18-Jan,13827,61,2,25,40
