School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
P.S. 22 - STATEN ISLAND,R,31,COVID VENTILATION,1111945,CIP,R022,1860 FOREST AVENUE,Staten Island,10467,STATEN IS,40.625369,-74.15097,501,49,5107239,5017060001,30302,SI0107,"(40.625369, -74.15097)",21-Nov,10371,4,1,13,75
CLARA BARTON HS - K,K,17,FY18 RESO A GYMNASIUM UPGRADE,66450,CIP,K600,901 CLASSON AVENUE,Brooklyn,10467,BROOKLYN,40.669567,-73.961962,309,35,3029702,3011880001,213,BK0901,"(40.669567, -73.961962)",21-Nov,13509,17,2,48,44
BROOKLYN TECH HS - K,K,13,EXTERIOR MASONRY / PARAPETS / PAVED AREAS CONCRETE / ROOFS / WINDOWS,23760000,CIP,K430,29 FT GREENE PLACE,Brooklyn,10467,BROOKLYN,40.688834,-73.976905,302,35,3058752,3020980013,33,BK0203,"(40.688834, -73.976905)",21-Nov,17619,68,2,48,55
P.S. 87 - MANHATTAN,M,3,EXTERIOR DOORS / EXTERIOR MASONRY / PARAPETS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / RPZ BACKFLOW PREVENTION DEVICES / WINDOWS,23719000,CIP,M087,160 WEST 78 STREET,Manhattan,10467,MANHATTAN,40.781958,-73.977638,107,6,1030196,1011490007,161,MN0702,"(40.781958, -73.977638)",21-Nov,12421,20,4,19,12
AUGUST MARTIN HS - QUEENS,Q,27,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,9487000,CIP,Q400,156-10 BAISLEY BOULEVARD,Queens,10467,QUEENS,40.675633,-73.783342,412,28,4265978,4122610001,294,QN1204,"(40.675633, -73.783342)",21-Nov,24669,41,3,46,71
P.S. 156 - QUEENS,Q,29,DEFECTIVE FLOORING REPLACEMENT,869000,CIP,Q156,229-02 137 AVENUE,Queens,10467,QUEENS,40.673069,-73.743173,413,31,4283015,4131700012,646,QN1305,"(40.673069, -73.743173)",21-Nov,15313,63,3,47,63
JOHN DEWEY HS - BROOKLYN,K,21,EXTERIOR MASONRY / PARAPETS / PAVED AREAS- BLACKTOP / REPLACE UNDERGROUND COMBINATION FIRE/DOMESTIC WATER MAIN / ROOFS / WINDOWS,41700000,CIP,K540,50 AVENUE X,Brooklyn,10467,BROOKLYN,40.589268,-73.981738,313,47,3194998,3071850020,308,BK1301,"(40.589268, -73.981738)",21-Nov,18183,21,2,45,35
P.S. 90 - BROOKLYN,K,21,FY18 RESO A LIBRARY UPGRADES,72197,CIP,K090,2840 WEST 12 STREET,Brooklyn,10467,BROOKLYN,40.578255,-73.979628,313,47,3196558,3072660040,350,BK1302,"(40.578255, -73.979628)",21-Nov,18184,21,2,45,35
P.S. 175 - BRONX,X,11,LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,34570,CIP,X175,200 CITY ISLAND AVENUE,Bronx,10467,BRONX,40.843873,-73.785219,210,13,2082444,2056410280,51601,BX1003,"(40.843873, -73.785219)",21-Nov,11273,43,5,12,28
P.S. 32 - QUEENS,Q,25,Demo,1515555,CAP,Q032,171-11 35 AVENUE,Queens,11358,QUEENS,40.764763,-73.794683,407,19,4118954,4052560001,1141,QN0704,"(40.764763, -73.794683)",21-Nov,14193,22,3,20,67
P.S. 54 - BROOKLYN,K,13,FLOOD ELIMINATION,1235100,CIP,K054,195 SANDFORD STREET,Brooklyn,10467,BROOKLYN,40.692741,-73.952981,303,33,3049020,3017650015,241,BK0301,"(40.692741, -73.952981)",21-Nov,17212,69,2,38,51
SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,K,14,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7606000,CIP,K033,70 TOMPKINS AVENUE,Brooklyn,10467,BROOKLYN,40.697152,-73.946641,303,36,3048517,3017430018,257,BK0301,"(40.697152, -73.946641)",21-Nov,17213,69,2,49,51
P.S. 20 - QUEENS,Q,25,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,6370000,CIP,Q020,142-30 BARCLAY AVENUE,Queens,10467,QUEENS,40.758689,-73.824832,407,20,4114657,4050470001,855,QN0707,"(40.758689, -73.824832)",21-Nov,14190,22,3,3,67
I.S. 162 - BROOKLYN,K,32,FY18 RESO A STEM LAB,497000,CIP,K162,1390 WILLOUGHBY AVENUE,Brooklyn,10467,BROOKLYN,40.707229,-73.919805,304,34,3073018,3032120001,445,BK0401,"(40.707229, -73.919805)",21-Nov,13828,42,2,30,53
I.S. 123 - BRONX,X,8,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / WATER INFILTRATION,6864000,CIP,X123,1025 MORRISON AVENUE,Bronx,10467,BRONX,40.825403,-73.873666,209,18,2087014,2037180001,48,BX0901,"(40.825403, -73.873666)",21-Nov,11610,58,5,31,26
P.S. 153 - BROOKLYN,K,21,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,9020,CIP,K153,1970 HOMECREST AVENUE,Brooklyn,10467,BROOKLYN,40.601617,-73.959779,315,48,3196677,3072910030,556,BK1501,"(40.601617, -73.959779)",21-Nov,13512,32,2,15,36
I.S. 53 - QUEENS,Q,27,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,10877000,CIP,Q053,10-45 NAMEOKE STREET,Queens,10467,QUEENS,40.603622,-73.749097,414,31,4298234,4155570025,103202,QN1401,"(40.603622, -73.749097)",21-Nov,20529,51,3,47,59
P.S. 214 - QUEENS,Q,25,GYMNASIUM FLOOR,274415,CIP,Q214,31-15 140 STREET,Queens,10467,QUEENS,40.770387,-73.828617,407,20,4100846,4044130020,88902,QN0707,"(40.770387, -73.828617)",21-Nov,13832,22,3,3,67
P.S. @ 45 WAVERLY PLACE - STATEN ISLAND,R,31,New,77780000,CAP,R070,45 WAVERLY PLACE,Staten Is,10304,STATEN IS,40.618113,-74.084738,501,49,5170701,5006350001,29,SI0102,"(40.618113, -74.084738)",21-Nov,10691,4,1,13,74
X186 SPED - BRONX,X,12,FLOOD ELIMINATION / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,8333000,CIP,X136,750 JENNINGS STREET,Bronx,10467,BRONX,40.83182,-73.898075,203,17,2010344,2029690001,151,BX0301,"(40.83182, -73.898075)",21-Nov,10937,34,5,42,25
P.S. 46 - QUEENS,Q,26,PLAYGROUND REDEVELOPMENT PROJECT,389000,CIP,Q046,64-45 218 STREET,Queens,10467,QUEENS,40.746202,-73.758752,411,23,4162449,4076190001,1367,QN1104,"(40.746202, -73.758752)",21-Nov,14506,26,3,16,69
J.H.S. 194 - QUEENS,Q,25,FY17 RESO A AUDITORIUM  UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM,1268000,CIP,Q194,154-60 17 AVENUE,Queens,10467,QUEENS,40.78365,-73.807838,407,19,4107342,4047290001,1029,QN0702,"(40.78365, -73.807838)",21-Nov,14192,22,3,20,67
P.S. 299 - BROOKLYN,K,32,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,7188000,CIP,K299,88 WOODBINE STREET,Brooklyn,10467,BROOKLYN,40.691077,-73.918152,304,37,3076734,3033580001,399,BK0402,"(40.691077, -73.918152)",21-Nov,18181,42,2,30,53
P.S. 213 - BROOKLYN,K,19,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7287000,CIP,K213,580 HEGEMAN AVENUE,Brooklyn,10467,BROOKLYN,40.66051,-73.890288,305,42,3097334,3043240001,1104,BK0503,"(40.66051, -73.890288)",21-Nov,17214,45,2,25,47
P.S. 81 - QUEENS,Q,24,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,46000,CIP,Q848,511 SENECA AVENUE,Queens,10467,QUEENS,40.705315,-73.911909,405,34,4081987,4034340001,545,QN0502,"(40.705315, -73.911909)",21-Nov,15310,54,3,30,62
P.S. 246 - BRONX,X,10,ELEVATOR REPLACEMENT / EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / RETAINING WALL / ROOFS,11448000,CIP,X843,2641 GRAND CONCOURSE,Bronx,10467,BRONX,40.865593,-73.894758,207,14,2013830,2031680027,401,BX0701,"(40.865593, -73.894758)",21-Nov,11606,24,5,29,34
P.S. 279 - BROOKLYN,K,18,BACKFLOW PREVENTION DEVICES,750000,CIP,K279,1070 EAST 104 STREET,Brooklyn,10467,BROOKLYN,40.644203,-73.892264,318,46,3326733,3082300001,986,BK1803,"(40.644203, -73.892264)",21-Nov,13827,5,2,8,42
JOHN ADAMS HS - QUEENS,Q,27,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,23280000,CIP,Q480,102-10 ROCKAWAY BOULEVARD,Queens,10467,QUEENS,40.679487,-73.836476,410,28,4202849,4095400002,864,QN1001,"(40.679487, -73.836476)",21-Nov,24013,62,3,41,64
P.S. 54 - BROOKLYN,K,13,LSP SUMP PUMP REPLACEMENT,143690,CIP,K054,195 SANDFORD STREET,Brooklyn,10467,BROOKLYN,40.692741,-73.952981,303,33,3049020,3017650015,241,BK0301,"(40.692741, -73.952981)",21-Nov,17212,69,2,38,51
P.S. 754 SPED - BRONX,X,7,COVID VENTILATION,1192718,CIP,X155,470 JACKSON AVENUE,Bronx,10467,BRONX,40.811162,-73.909804,201,8,2003910,2025780027,35,BX0101,"(40.811162, -73.909804)",21-Nov,10933,49,5,35,23
P.S. @ 1570 BOONE AVENUE - BRONX,X,12,New,50929000,CAP,X320,1570 BOONE AVENUE,Bronx,10460,BRONX,40.833235,-73.884966,203,17,2129122,2030140016,157,BX0303,"(40.833235, -73.884966)",21-Nov,11269,34,5,43,25
P.S. 177 - BROOKLYN,K,21,PATH OF TRAVEL PLANYC PLAYGROUND REDEVELOPMENT / PLANYC PLAYGROUND REDEVELOPMENT,2593919,CIP,K177,346 AVENUE P,Brooklyn,10467,BROOKLYN,40.608604,-73.974847,311,44,3175834,3066310001,424,BK1103,"(40.608604, -73.974847)",21-Nov,18183,1,2,18,37
P.S. 8 - BRONX,X,10,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,6130670,CIP,X008,3010 BRIGGS AVENUE,Bronx,10467,BRONX,40.872612,-73.883574,207,11,2094734,2032990060,415,BX0702,"(40.872612, -73.883574)",21-Nov,10936,24,5,40,34
NEW EXPLORATIONS - M,M,1,IPDVS CAMERA INSTALLATION,249995,CIP,M022,111 COLUMBIA STREET,Manhattan,10467,MANHATTAN,40.718895,-73.979308,103,2,1004070,1003350001,2201,MN0302,"(40.718895, -73.979308)",21-Nov,11723,70,4,50,4
COLLABORATIVE ARTS MIDDLE SCHOOL - QUEENS,Q,29,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,769000,CIP,Q231,145-00 SPRINGFIELD BOULEVARD,Queens,10467,QUEENS,40.664608,-73.758784,413,31,4285682,4133310001,320,QN1306,"(40.664608, -73.758784)",21-Nov,15313,63,3,47,63
I.S. 340 - BROOKLYN,K,13,UPE- PLAYGROUND,340000,CIP,K874,227 STERLING PLACE,Brooklyn,10467,BROOKLYN,40.676094,-73.97038,308,35,3029060,3011640057,163,BK0801,"(40.676094, -73.97038)",21-Nov,13829,16,2,48,50
P.S. 101 - BROOKLYN,K,21,FY20 RESO A AUDITORIUM UPGRADE,362000,CIP,K101,8696 24TH AVENUE,Brooklyn,10467,BROOKLYN,40.597133,-73.991614,311,43,3427175,3068750032,302,BK1103,"(40.597133, -73.991614)",21-Nov,17616,1,2,45,37
KINGSBOROUGH EARLY COLLEGE SCHOOL,K,21,FY18 RESO A AUDITORIUM  UPGRADE / ROOF,14150000,CIP,K400,2630 BENSON AVENUE,Brooklyn,10467,BROOKLYN,40.594291,-73.98577,313,47,3186454,3068830001,306,BK1301,"(40.594291, -73.98577)",21-Nov,17616,21,2,45,35
P.S. 2 - QUEENS,Q,30,Demo,3880320,CAP,Q002,21-15 75TH STREET,Queens,11370,QUEENS,40.769855,-73.894585,401,22,4624308,4009710001,317,QN0101,"(40.769855, -73.894585)",21-Nov,14781,39,3,4,72
I.S. 331 - BRONX,X,10,FY19 RESO A GYMNASIUM UPGRADE,26000,CIP,X306,40 WEST TREMONT AVENUE,Bronx,10467,BRONX,40.851815,-73.91118,205,14,2098721,2028620014,217,BX0501,"(40.851815, -73.91118)",21-Nov,10931,6,5,29,29
P.S. 69 - STATEN ISLAND,R,31,FY19 RESO A LIBRARY UPGRADE,470000,CIP,R069,144 KEATING PLACE,Staten Island,10467,STATEN IS,40.591468,-74.156705,502,51,5037541,5023660073,27705,SI0204,"(40.591468, -74.156705)",21-Nov,10700,30,1,9,75
P.S. 54 - QUEENS,Q,28,LSP- PLAYGROUND UPGRADE,250655,CIP,Q054,86-02 127 STREET,Queens,10467,QUEENS,40.70292,-73.824221,409,29,4193916,4092800001,14201,QN0902,"(40.70292, -73.824221)",21-Nov,24014,46,3,28,60
BROOKLYN COLLEGE ACADEMY - K,K,15,FY19 RESO A SCIENCE LAB UPGRADES / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,418393.73,CIP,K917,350 CONEY ISLAND AVENUE,Brooklyn,10467,BROOKLYN,40.649404,-73.971736,307,40,3328370,3053220069,50401,BK0701,"(40.649404, -73.971736)",21-Nov,17620,9,2,27,45
M.S. 137 - QUEENS,Q,27,FY20 RESO A AUDITORIUM UPGRADE,331000,CIP,Q137,109-15 98TH STREET,Queens,10467,QUEENS,40.6781,-73.839948,410,32,4467457,4091720001,86,QN1002,"(40.6781, -73.839948)",21-Nov,24013,62,3,41,64
I.S. 162 - BROOKLYN,K,32,LL 26-EXIT SIGNS,55103,CIP,K162,1390 WILLOUGHBY AVENUE,Brooklyn,10467,BROOKLYN,40.707229,-73.919805,304,34,3073018,3032120001,445,BK0401,"(40.707229, -73.919805)",21-Nov,13828,42,2,30,53
P.S. 21 - QUEENS,Q,25,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5825285,CIP,Q021,147-36 26TH AVENUE,Queens,10467,QUEENS,40.774512,-73.819284,407,19,4108665,4048030001,1047,QN0704,"(40.774512, -73.819284)",21-Nov,13832,22,3,20,67
P.S. 277 - BRONX,X,7,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,6996000,CIP,X027,519 ST ANNS AVENUE,Bronx,10467,BRONX,40.813517,-73.913402,201,8,2000114,2022740023,43,BX0101,"(40.813517, -73.913402)",21-Nov,10933,49,5,35,23
DISTRICT 2 PRE-K CENTER,M,2,UPE- INTERIOR CONVERSION,24363.7,CIP,M471,355 EAST 76 STREET,Manhattan,10467,MANHATTAN,40.770756,-73.954958,108,5,1045173,1014510017,134,MN0801,"(40.770756, -73.954958)",21-Nov,12083,23,4,1,11
P.S. 151 - MANHATTAN,M,2,FY16 RESO A ROOFTOP PLAYGROUND,2526000,CIP,M066,421 EAST 88 STREET,Manhattan,10467,MANHATTAN,40.777856,-73.947627,108,5,1050618,1015680008,14402,MN0803,"(40.777856, -73.947627)",21-Nov,10099,23,4,1,11
HS FOR LAW ENFORCEMENT - QUEENS,Q,28,FY19 RESO A AUDITORIUM UPGRADE,548000,CIP,Q690,116-25 GUY R BREWER BOULEVARD,Queens,10467,QUEENS,40.686208,-73.784144,412,28,4464077,4123350049,278,QN1203,"(40.686208, -73.784144)",21-Nov,24669,41,3,46,71
SECONDARY SCHOOL FOR LAW - K,K,15,MASONRY,2997786,CIP,K460,237 7TH AVENUE,Brooklyn,10467,BROOKLYN,40.669629,-73.979287,306,39,3025510,3010820001,155,BK0602,"(40.669629, -73.979287)",21-Nov,17617,14,2,27,50
HS FOR HEALTH CAREER & SCIENCE - M,M,6,CAFETERIA CHILLER,4915479,CIP,M465,549 AUDUBON AVENUE,Manhattan,10467,MANHATTAN,40.855855,-73.92712,112,10,1076751,1021600018,277,MN1202,"(40.855855, -73.92712)",21-Nov,13098,47,4,39,22
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -,R,31,LSP VENTILATION/DUST COLLECTION SYSTEM,79200,CIP,R600,290 ST MARKS PLACE,Staten Island,10467,STATEN IS,40.642793,-74.07873,501,49,5000000,5000190004,9,SI0101,"(40.642793, -74.07873)",21-Nov,10369,4,1,13,74
TEACHERS PREP (HS LVL) - K,K,23,ELECTRICAL WORK FOR A/C INITIATIVE,42000,CIP,K175,226 BRISTOL STREET,Brooklyn,10467,BROOKLYN,40.665878,-73.911705,316,41,3081419,3035410001,924,BK1602,"(40.665878, -73.911705)",21-Nov,17614,55,2,17,46
P.S. 95 - BRONX,X,10,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,76000,CIP,X095,3961 HILLMAN AVENUE,Bronx,10467,BRONX,40.882898,-73.891256,208,11,2015472,2032520182,281,BX0801,"(40.882898, -73.891256)",21-Nov,11272,48,5,40,33
P.S. 62 - BRONX,X,8,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,123800,CIP,X062,660 FOX STREET,Bronx,10467,BRONX,40.814031,-73.900609,202,17,2005089,2026830065,83,BX0202,"(40.814031, -73.900609)",21-Nov,10933,8,5,35,24
I.S. 302 - BRONX,X,8,REPLACE PUBLIC ADDRESS & SYNCHRONIZED CLOCK SYSTEM,990000,CIP,X052,681 KELLY STREET,Bronx,10467,BRONX,40.815429,-73.902139,202,17,2005133,2026860020,83,BX0202,"(40.815429, -73.902139)",21-Nov,10933,8,5,43,24
R025 SPED - STATEN ISLAND,R,31,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,1234566,CIP,R025,4210 ARTHUR KILL ROAD,Staten Island,10467,STATEN IS,40.539795,-74.237549,503,51,5086781,5073150007,22602,SI0305,"(40.539795, -74.237549)",21-Nov,10696,15,1,9,77
P.S. 46 - STATEN ISLAND,R,31,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,1053731.65,CIP,R046,41 REID AVENUE,Staten Island,10467,STATEN IS,40.59377,-74.08058,502,50,5047613,5032430001,64,SI0201,"(40.59377, -74.08058)",21-Nov,10692,30,1,14,76
Q000 - QUEENS,Q,30,COVID TESTING CENTER AND LAB,711743,CIP,QT01,34-33 JUNCTION BOULEVARD,Queens,10467,QUEENS,40.754179,-73.872231,403,21,4042887,4017290027,37502,QN0303,"(40.754179, -73.872231)",21-Nov,14783,65,3,21,73
P.S. 195/196 - BRONX,X,12,Addition,61823735,CAP,X077,1250 WARD AVENUE,Bronx,10472,BRONX,40.830499,-73.877704,209,17,2000000,2037750025,54,BX0901,"(40.830499, -73.877704)",21-Nov,11610,58,5,31,26
P.S. 47 - QUEENS,Q,27,FIRE ALARM REPLACEMENT,157766.4,CIP,Q047,9 POWER ROAD,Queens,10467,QUEENS,40.606353,-73.820445,414,32,4448968,4153130485,107201,QN1403,"(40.606353, -73.820445)",21-Nov,20531,51,3,41,58
BARD COLLEGE HS - MANHATTAN,M,1,FY18 RESO A AUDITORIUM  UPGRADE,51812,CIP,M097,525 EAST HOUSTON STREET,Manhattan,10467,MANHATTAN,40.719029,-73.975891,103,2,1004062,1003250025,1002,MN0302,"(40.719029, -73.975891)",21-Nov,11723,70,4,50,4
P.S. @ 4302 4TH AVENUE - BROOKLYN,K,15,New,47695598,CAP,K557,4302 4TH AVENUE,Brooklyn,11232,BROOKLYN,40.650305,-74.008602,307,38,3000000,3007280036,82,BK0702,"(40.650305, -74.008602)",21-Nov,18180,9,2,7,45
P.S. 179 - BROOKLYN,K,20,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,94600,CIP,K179,202 AVENUE C,Brooklyn,10467,BROOKLYN,40.640463,-73.977642,312,39,3126001,3053710001,488,BK1203,"(40.640463, -73.977642)",21-Nov,17620,2,2,27,39
LONGWOOD PREPARATORY ACADEMY,X,8,FLOOD ELIMINATION,1579599,CIP,X039,965 LONGWOOD AVENUE,Bronx,10467,BRONX,40.817512,-73.898212,202,17,2005616,2027100001,87,BX0202,"(40.817512, -73.898212)",21-Nov,10937,8,5,43,24
DISTRICT 20 PRE-K CENTER,K,20,BACKFLOW PREVENTION DEVICES,409000,CIP,K767,1668 46 STREET,Brooklyn,10467,BROOKLYN,40.631768,-73.98221,312,44,3324164,3054370038,476,BK1202,"(40.631768, -73.98221)",21-Nov,16867,2,2,18,39
YOUNG LEADERS ELEM - BRONX,X,7,FY18 RESO A PLAYGROUNDS,373556,CIP,X040,468 EAST 140 STREET,Bronx,10467,BRONX,40.809534,-73.919903,201,8,2000308,2022840034,39,BX0101,"(40.809534, -73.919903)",21-Nov,10932,49,5,35,23
IT TAKES A VILLAGE ACADEMY - K,K,18,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,25300000,CIP,K415,5800 TILDEN AVENUE,Brooklyn,10467,BROOKLYN,40.648657,-73.922171,317,45,3104598,3047420001,936,BK1703,"(40.648657, -73.922171)",21-Nov,16866,61,2,26,40
I.S. 424 - BRONX,X,8,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,7504528.75,CIP,X074,730 BRYANT AVENUE,Bronx,10467,BRONX,40.815455,-73.88577,202,17,2006566,2027630279,11701,BX0201,"(40.815455, -73.88577)",21-Nov,12343,8,5,43,24
P.S. 171 - MANHATTAN,M,4,EXTERIOR MASONRY / FLOOD ELIMINATION / HEATING PLANT UPGRADE / WINDOWS,16691000,CIP,M171,19 EAST 103 STREET,Manhattan,10467,MANHATTAN,40.792122,-73.951961,111,8,1051497,1016090007,168,MN1101,"(40.792122, -73.951961)",21-Nov,12426,7,4,35,14
I.S. 49 - STATEN ISLAND,R,31,FLOOD ELIMINATION,2221000,CIP,R049,101 WARREN STREET,Staten Island,10467,STATEN IS,40.620347,-74.081643,501,49,5014184,5005560080,29,SI0102,"(40.620347, -74.081643)",21-Nov,10691,4,1,13,74
I.S. 101 - BRONX,X,8,ROOFS / WINDOW SILL ISSUE,6343038,CIP,X101,2750 LAFAYETTE AVENUE,Bronx,10467,BRONX,40.827471,-73.829753,210,13,2080231,2055470001,152,BX1002,"(40.827471, -73.829753)",21-Nov,11274,43,5,12,28
DISTRICT 2 PRE-K CENTER @ 355 EAST 76 STREET - MANHATTAN,M,2,Lease,17995803,CAP,M471,355 EAST 76 STREET,Manhattan,10021,MANHATTAN,40.770756,-73.954958,108,5,1045173,1014510017,134,MN0801,"(40.770756, -73.954958)",21-Nov,12083,23,4,1,11
P.S. 132 - MANHATTAN,M,6,ELECTRICAL WORK FOR A/C INITIATIVE,57415,CIP,M132,185 WADSWORTH AVENUE,Manhattan,10467,MANHATTAN,40.850626,-73.934377,112,10,1063947,1021650026,271,MN1202,"(40.850626, -73.934377)",21-Nov,13091,47,4,39,22
X012 SPED - BRONX,X,11,IPDVS CAMERA INSTALLATION,204500,CIP,X012,2555 TRATMAN AVENUE,Bronx,10467,BRONX,40.840145,-73.844419,210,18,2041864,2039830001,200,BX1001,"(40.840145, -73.844419)",21-Nov,11270,43,5,12,28
P.S. 159 - BROOKLYN,K,19,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,9020,CIP,K159,2781 PITKIN AVENUE,Brooklyn,10467,BROOKLYN,40.675766,-73.869469,305,42,3094735,3042160001,1200,BK0505,"(40.675766, -73.869469)",21-Nov,17215,45,2,25,47
P.S. 96 - QUEENS,Q,27,Demo,2981000,CAP,Q096,130-01 ROCKAWAY BOULEVARD,Queens,11420,QUEENS,40.674991,-73.808371,410,28,4253028,4116940027,180,QN1001,"(40.674991, -73.808371)",21-Nov,24016,62,3,46,64
P.S. 49 - QUEENS,Q,24,FY20 RESO A GYMNASIUM UPGRADE,40000,CIP,Q049,63-60 80TH STREET,Queens,10467,QUEENS,40.719867,-73.875093,405,30,4069253,4029900045,66301,QN0504,"(40.719867, -73.875093)",21-Nov,15309,54,3,34,62
BOYS & GIRLS HS - BROOKLYN,K,16,ELECTRICAL WORK FOR A/C INITIATIVE,4510,CIP,K455,1700 FULTON STREET,Brooklyn,10467,BROOKLYN,40.67944,-73.932407,303,36,3047996,3017010001,271,BK0302,"(40.67944, -73.932407)",21-Nov,17615,69,2,49,52
P.S. 172 - BROOKLYN,K,15,COVID VENTILATION,306113,CIP,K172,825 4 AVENUE,Brooklyn,10467,BROOKLYN,40.657914,-74.000652,307,38,3009847,3006690001,101,BK0702,"(40.657914, -74.000652)",21-Nov,13515,9,2,7,45
P.S. 70 - BRONX,X,9,ELECTRICAL WORK FOR A/C INITIATIVE,14020,CIP,X070,1691 WEEKS AVENUE,Bronx,10467,BRONX,40.844253,-73.907616,204,15,2007387,2027930028,22902,BX0403,"(40.844253, -73.907616)",21-Nov,10935,50,5,22,27
I.S. 371 - BRONX,X,8,ELECTRICAL WORK FOR A/C INITIATIVE,53000,CIP,X192,650 HOLLYWOOD AVENUE,Bronx,10467,BRONX,40.826526,-73.818417,210,13,2077130,2054380001,158,BX1002,"(40.826526, -73.818417)",21-Nov,11274,43,5,12,28
P.S. 245 - BROOKLYN,K,22,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,102850,CIP,K735,249 EAST 17 STREET,Brooklyn,10467,BROOKLYN,40.645016,-73.963208,314,40,3117584,3051210032,512,BK1401,"(40.645016, -73.963208)",21-Nov,13510,60,2,11,43
BROOKLYN ACADEMY HS - BROOKLYN,K,13,WORK REQUIRED TO OBTAIN A C OF O,9436400,CIP,K458,832 MARCY AVENUE,Brooklyn,10467,BROOKLYN,40.685004,-73.947152,303,36,3051641,3018230038,249,BK0301,"(40.685004, -73.947152)",21-Nov,17618,69,2,49,51
P.S. 217 - BROOKLYN,K,22,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / WINDOWS,10807450,CIP,K217,1100 NEWKIRK AVENUE,Brooklyn,10467,BROOKLYN,40.63398,-73.966558,314,45,3121072,3052320001,526,BK1402,"(40.63398, -73.966558)",21-Nov,13513,60,2,11,43
NAPLES STREET ELEMENTARY SCHOOL - R,R,31,EXTERIOR MASONRY / PARAPETS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / WATER PENETRATION IN BASEMENT,13900000,CIP,R048,1055 TARGEE STREET,Staten Island,10467,STATEN IS,40.60223,-74.091355,502,50,5046419,5031710001,50,SI0201,"(40.60223, -74.091355)",21-Nov,10691,30,1,14,76
I.S. 328 - MANHATTAN,M,6,IPDVS CAMERA INSTALLATION,512000,CIP,M164,401 WEST 164 STREET,Manhattan,10467,MANHATTAN,40.836506,-73.93709,112,10,1062636,1021110024,24301,MN1201,"(40.836506, -73.93709)",21-Nov,13090,47,4,39,21
I.S. 145 - QUEENS,Q,30,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,8497000,CIP,Q145,33-34 80 STREET,Queens,10467,QUEENS,40.754661,-73.887112,403,25,4442764,4012520001,285,QN0301,"(40.754661, -73.887112)",21-Nov,14783,65,3,5,73
P.S. 158 - BROOKLYN,K,19,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / PAVED AREAS-CONCRETE / ROOFS / WINDOWS,18237000,CIP,K158,400 ASHFORD STREET,Brooklyn,10467,BROOKLYN,40.672579,-73.884803,305,42,3089176,3040150001,1150,BK0502,"(40.672579, -73.884803)",21-Nov,17214,45,2,37,47
